Media,ABRC-new,Genotype,MRPL,MRVL,MRVA,noLRpMR,Basal,Branched,Apical,Straightness,TRS,LRDpMR,LRDpBZ,Depth,LRL,MRpTRS,aLRL,aLRLpMRL,LRLpMRL,BasalpMRL,BranchedpMRL,ApicalpMRL,PC1,PC2,PC3
0,CS22689,RRS-10,3.72953,3.26015,22.0511,3,1.00909,0.48658,2.23386,0.874145,3.944153,0.804391,6.16548,3.021668,0.214623,0.945584515,0.071541,0.01918231,0.05754693,27.0567605,13.04668417,59.89655533,3.842389488,-2.675611659,0.931572827
0,CS22689,RRS-10,3.62778,3.32757,15.1011,0,0,0,0,0.917247,3.62778,0,0,3.212661,0,1,0,0,0,0,0,0,3.667805888,-1.249300506,-1.647800123
0,CS22689,RRS-10,3.71954,3.32516,28.1371,3,0.672726,0.487484,2.55933,0.893971,3.907861,0.806551,6.154046,2.932198,0.188321,0.951809698,0.062773667,0.016876728,0.050630185,18.08626873,13.10602924,68.80770203,3.536578981,-2.973885494,1.137132032
0,CS22689,RRS-10,3.66693,3.23953,22.9321,5,0.097242,1.052448,2.51724,0.883445,4.246399,1.363539,4.750829,2.983501,0.579469,0.86353873,0.1158938,0.03160513,0.158025651,2.651864093,28.70106601,68.64706989,1.988813316,-2.186965578,0.77266454
75,CS22689,RRS-10,4.6933,4.29036,5.96449,9,0.099421,2.323509,2.27037,0.914146,5.821576,1.917627,3.873452,4.267134,1.128276,0.806190626,0.125364,0.026711269,0.240401423,2.118360216,49.50693542,48.37470437,0.06019434,-2.309857476,-0.726044067
75,CS22689,RRS-10,4.55541,4.08116,2.68377,1,0.285563,0,4.269847,0.895893,4.598771,0.219519,0,4.076684,0.043361,0.990571177,0.043361,0.009518572,0.009518572,6.268656389,0,93.73134361,3.077743237,-4.996282744,1.598429728
75,CS22689,RRS-10,4.47469,4.14176,-4.76364,1,1.78251,0,2.69218,0.925597,4.559232,0.223479,0,4.127453,0.084542,0.981456965,0.084542,0.018893376,0.018893376,39.83538524,0,60.16461476,4.548931174,-4.388359938,0.873863298
75,CS22689,RRS-10,4.10076,3.70062,-2.96094,3,0.194484,1.648976,2.2573,0.902423,5.030568,0.731572,1.819311,3.695679,0.929808,0.815168387,0.309936,0.075580136,0.226740409,4.742633073,40.211473,55.04589393,1.113257604,-1.964197598,0.549471542
125,CS22689,RRS-10,1.89644,1.70223,-1.29217,0,0,0,0,0.897592,1.89644,0,0,1.701797,0,1,0,0,0,0,0,0,4.629084862,0.266695399,-1.684423194
125,CS22689,RRS-10,1.82678,1.67465,-6.58194,0,0,0,0,0.916722,1.82678,0,0,1.663612,0,1,0,0,0,0,0,0,4.648623318,0.291353628,-1.76234112
125,CS22689,RRS-10,1.57187,1.43872,4.08562,0,0,0,0,0.915292,1.57187,0,0,1.435064,0,1,0,0,0,0,0,0,4.830812537,0.368358934,-1.60365102
125,CS22689,RRS-10,2.01998,1.7791,-9.93639,8,0.201924,1.096716,0.72134,0.880751,2.471547,3.960435,7.294504,1.752413,0.451567,0.817293784,0.056445875,0.027943779,0.223550233,9.996336597,54.29340885,35.71025456,2.206176391,1.510711795,-1.413950872
0,CS28007,Aa-0,4.74787,4.09098,14.4257,9,0.153303,1.444497,3.15007,0.861645,6.690906,1.895587,6.230543,3.961998,1.943036,0.709600464,0.215892889,0.045471525,0.409243724,3.228879476,30.42410597,66.34701456,-0.035233085,-2.450572776,1.192416295
0,CS28007,Aa-0,4.60891,4.03427,16.8899,8,0.305703,1.588557,2.71465,0.87532,5.976837,1.735768,5.036017,3.860251,1.367927,0.771128609,0.170990875,0.037100068,0.296800545,6.632869811,34.46708658,58.90004361,0.611639908,-2.46224034,0.583612984
0,CS28007,Aa-0,4.8297,4.381,16.3801,9,0.066582,1.520698,3.24242,0.907096,7.110376,1.86347,5.918334,4.203184,2.280676,0.67924678,0.253408444,0.052468775,0.472218978,1.378594944,31.48638632,67.13501874,-0.478519485,-2.707033025,1.343415852
0,CS28007,Aa-0,4.48755,4.06686,13.035,7,0.0635,1.72826,2.69579,0.906254,6.236101,1.559871,4.050317,3.962067,1.748551,0.719608294,0.249793,0.055663558,0.389644906,1.415026016,38.51232855,60.07264543,0.016258544,-2.258960389,0.788578452
75,CS28007,Aa-0,5.12,4.38462,2.16422,16,0.081461,2.994059,2.04448,0.856371,7.510994,3.125,5.343916,4.381493,2.390994,0.681667433,0.149437125,0.029186938,0.466991016,1.591035156,58.47771484,39.93125,-1.648048977,-1.351681712,-1.131389617
75,CS28007,Aa-0,4.95745,4.49112,-7.0041,15,0.275042,2.888468,1.79394,0.905933,7.23414,3.025749,5.193064,4.457604,2.27669,0.685285328,0.151779333,0.030616412,0.459246185,5.548053939,58.26519682,36.18674924,-1.328343328,-1.371063076,-1.338870145
